text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
@tinkertom2021 @modmothernature @Garrett_Archer @PogueMoran @noodlesfordogs @icbouldertoo We don't block; we're not afraid to be challenged.  We're also not afraid to tell accounts when they are not responding in good faith.,Yes,No,,,,No,,,,,,3,Man,63,No,2
"@kevinbruns @LibertyAnders @TheMcgWire Other people's ""selfishness"" and ""greed"", I mean, causes them to take advantage of others when safely possible. They steal.  You can't destroy other people's desire to steal.  But creating an organization that makes stealing legal is the exact opposite of what you want.",No,Yes,No,51,53,No,,,,55,56,53,Woman,40,No,3
"@RollingStone That's a bluff. Common law is that the dead can't be defamed  Maybe if Floyd had an actively producing estate (like M. Jackson's royalties) there MIGHT be a chance IF you get past West's 1A rights, but even then they'd have to prove that what he said caused damages to that estate",No,No,,,,No,,,,,,53,Woman,40,No,3
You don't have to worry about market trends with #Defiwars because a sizable portion of the overall supply vanishes at the conclusion of each @DeFiWars_crypto scheduled Warfare Game  TG channel https--//t.co/YhwgX53AJC Discord channel https--//t.co/WlLZJ6Jczk  #DeFi #BNB #ETH #BTS https--//t.co/LJKkG2JCwR,Yes,Yes,No,32,68,Yes,Yes,93,83,66,72,53,Woman,40,No,3
@PlayOmega @discord so cuteeeeeeeeeeeeee,No,No,,,,No,,,,,,53,Woman,40,No,3
"""The beauty of yoga is that it addresses multiple factors that underlie heart disease,"" says yoga researcher and neuroscientist Dr. Sat Bir Singh Khalsa, assistant professor of medicine at Harvard Medical School.    https--//t.co/TrjSOaq9IZ https--//t.co/jhyam6PX7m",No,No,,,,Yes,Yes,84,87,86,85,53,Woman,40,No,3
"@SteelersEric412 @YukonDenali7 @Just_Fargo @theeuntethered @lmauricecpr If Chauvin had spent those 10 minutes trying to get an ambulance instead of kneeling on his neck, he would still be a cop, even if Floyd had died of an overdose. Or he could’ve administered narcan. Or he could’ve attempted to get him to the ER.",No,No,,,,No,,,,,,53,Woman,40,No,3
This logic trap only applies to Jewish converts though. There's no blanket duty of forgiveness to one's enemies in Judaism that I am aware of. https--//t.co/kFPGIz0gLS,No,No,,,,No,,,,,,53,Woman,40,No,3
We tried I just got the clear shower curtain joint and last time you dam near died https--//t.co/ss0VnxT2R5,No,No,,,,No,,,,,,53,Woman,40,No,3
"#Russia Bombards #Ukraine With Iranian ‘Kamikaze #Drones’. Russia’s airstrikes on Ukraine apparently have entered a new phase, with heavy attacks today by Iranian-made Shahed-136 drones. https--//t.co/dzVMtpDf3I  #UkraineWar #RussiaAttack",No,No,,,,No,,,,,,53,Woman,40,No,3
@elonmusk @kadubai11 @spideycyp_155 If Russia withdraws from Ukraine then the rest of their Army avoids destruction and there will be no war in Ukraine or with NATO. How do you not get that? Blinded by Political agenda more like.,No,No,,,,No,,,,,,53,Woman,40,No,3
"For many ppl. feeling anger is a sign of a present injustice or threat. For me, it's almost always a sign that I have unrealistic expectations",No,Yes,No,77,50,No,,,,71,50,11,Woman,45,Yes,4
@JoePorterUK @PennyMordaunt Lol. Tories are the coalition of chaos. What a mess.,Yes,Yes,No,50,70,Yes,Yes,50,85,61,58,11,Woman,45,Yes,4
"In partnership with Matthew 25-- Ministries and Capitol Hill volunteers, yesterday we packed 1,400 product-filled relief kits for disaster-struck communities to restore a sense of normalcy to those in crisis. As part of our annual Delivering... #PGemployee https--//t.co/lt4R2Bo1d2",No,Yes,No,92,3,No,,,,14,4,11,Woman,45,Yes,4
ASUU strike-- Lecturers have to deal with the consequences of maintaining pupils in the house – – Ishaku https--//t.co/ATjDr8bpa2,No,No,,,,Yes,No,96,98,94,71,11,Woman,45,Yes,4
"and i’m used to it because even people in my extended family feel that way. they come to me for info about everyone instead of visiting, as if they’re afraid to “catch the poor” it’s really fucking disgusting and I hate it. 😁",No,Yes,No,91,50,No,,,,88,87,11,Woman,45,Yes,4
why is the standard of a good society sending young men to their deaths? surely we should be happy we don't have to fight a dictorship on our door step? https--//t.co/phGK4LIbfc,No,No,,,,No,,,,,,11,Woman,45,Yes,4
@tweetberry4 @syubjim Yoongi took the narrow and difficult path,No,No,,,,Yes,No,72,68,49,55,11,Woman,45,Yes,4
"“I am deeply concerned that the war in Tigray continues to escalate dangerously, deepening the humanitarian crisis in Tigray” @RepGregoryMeeks said.  #TigrayUnderAttack  #StopWarOnTigray @HouseForeig @Ni",Yes,No,,,,No,,,,,,11,Woman,45,Yes,4
"@hmrpoet @bvtucci @mwphnh @ByronYork ... for him is a devoted fan.  It just isn't so.  Not even close.  The biggest mistake Republicans can make is to think they're running against the catastrophe known as Biden, and to prepare that way.  If they don't pick a candidate who can beat people like Manchin, ...",No,Yes,No,84,34,No,,,,81,87,11,Woman,45,Yes,4
"@RighteousFruity @HoshizoraOW No, just stop throwing your damage orb during team fights you fucking idiot.",No,No,,,,No,,,,,,0,Woman,35,Yes,5
"@SoozleMcDoozle Thinking of all of you, wishing you comfort and support in this difficult moment.",No,No,,,,Yes,No,13,22,57,70,0,Woman,35,Yes,5
@robcarlson20 @KerryOLeary4 @nicher66 @CalvinE43701301 @ThereseOSulliv2 @Pepevineyard @gopisdirty @bombaybadboy @Aimhighffw @TreatHunterDog @TrumpsGuiIty @JackWhoElse @Saggit95 @LadyOfTheOcean1 @InRainbows182 @kennethGalla2 @Michel757188561 @scary_brock @fallingtree1745 @AnnoyedTaurus @gmarshall1965 @SpacesVector @LivesSawyer @antiLibmob @TheAngryPundit @dorthy_fromoz @Gigi69030829 @yvonnecar20 @FrankPLP2022 @SandraGray9 @fireball_lady @ernestleenot @T_WJackson @NoBulls55224206 @MarcGriff89 @ProGunOne1776 @S51781902 @ambassadorgems @pamg8tr @ChrissyCushman @MarvinRJeffcoat @TroyQui55914716 @LettuceLollie @GigiGreene63 @David45189771 @AmericanSuzieQ @Synyster63 @Jeanelynn BIDENS “ Border Chief” keeps falling asleep during talks about the Border invasión. Because he knows Biden HARRIS don’t care. https--//t.co/AruQXl2Ukj,No,No,,,,No,,,,,,0,Woman,35,Yes,5
This world full of so many followers…Durk said “welcome to death row” now everybody in death row contracts w somebody …yal some lame ass unoriginal ass group of humans lmao,No,No,,,,No,,,,,,0,Woman,35,Yes,5
This dangerous attack on our democracy must not stand. https--//t.co/Z7OcaDJYnp,No,No,,,,No,,,,,,0,Woman,35,Yes,5
@flipkartsupport 124 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,Yes,No,,,,No,,,,,,0,Woman,35,Yes,5
"@elonmusk @kadubai11 @spideycyp_155 This worlds runs on greed. You know this. Putin nor any of his oligarchs want to lose their lives and their everything, over land they stole. There will be no nuclear war, bc that's a death sentence to all their lifestyles, their life.",Yes,No,,,,No,,,,,,0,Woman,35,Yes,5
@bujeeboo Johnson's collapse will disproportionately help Kotek.,No,No,,,,No,,,,,,0,Woman,35,Yes,5
@BiryomumaishoB To some people the ebola chaos is about the money! God save us this curse of a disease,No,No,,,,No,,,,,,0,Woman,35,Yes,5
#XenoAki N trying to destroy Noah ideal. Why does this make me thinks to fate so much ??? The parallel to Emiya is so strong,No,No,,,,No,,,,,,0,Man,39,Yes,6
Most of the shadows of life are caused by standing in our own sunshine.  #衡水 #韶关 #黄石 #推特账号   xWnTvPsJ   https--//t.co/I8jCsD7mHT,No,No,,,,No,,,,,,0,Man,39,Yes,6
it had obloquies of Ricks in every https--//t.co/kSqKyDxItw reading it over I harvested the intelligence that said alleged Ricks #包养  #包养应聘,No,No,,,,No,,,,,,0,Man,39,Yes,6
"If it wasn’t for my anxiety, I’d be trying to link up with everyone but yeah…",No,No,,,,No,,,,,,0,Man,39,Yes,6
"@chirilucky2 @againstgrmrs If kids do not go through with any “gender affirming care”, a massive percentage of them grow out of their gender dysphoria. Once they’ve committed to it and gone through with irreversible treatment, “detransitioning” wouldn’t really fix the damage they’ve done.",No,Yes,No,100,100,No,,,,100,100,0,Man,39,Yes,6
"@comicbookaholic @Kaleigh1103 @Abdulshiekh619 No, athena did nothing to him. Every time he beat death he clawed himself out of hades on his own",No,No,,,,No,,,,,,0,Man,39,Yes,6
@MrAlgolagnist @LouMill90 @WIAW18 So weird that they think it’s saying no we have a problem with lmao. We have a problem with concerted attacks on gay and trans rights. We are saying no to them and they don’t like that one but.,No,Yes,No,100,100,No,,,,100,100,0,Man,39,Yes,6
Top DeFi Tokens by Social Activity https--//t.co/a0PYshZqXH $CAKE #SAFEMOON $FEG $SLIM $LEOS $QUICK $LINK $FTM $OP https--//t.co/89Dy5mcVEo,Yes,No,,,,No,,,,,,0,Man,39,Yes,6
@atulharia @au_tom_otive No real harm is caused? https--//t.co/ypoyQXOLQl,No,No,,,,No,,,,,,0,Man,39,Yes,6
@thehill @TheHillOpinion The Hill-- Actively amplifying chaos agents and undermining Democracy.  The press is complicit in their ineptitude.,No,Yes,No,100,0,No,,,,100,100,0,Man,39,Yes,6
"In May, @TheEndoSociety launched the Oncoendocrinology Special Interest Group that will focus on #endocrine and metabolic consequences of non-endocrine cancers and their treatments. Read all about it and find out how you can join! https--//t.co/eXovFnZ5r3 https--//t.co/zGH3pAwfoV",No,No,,,,Yes,Yes,96,96,76,73,50,Man,52,No,7
"A guy on Bumble told me that he's ""currently working on 6 novels"" like he's Stephen King...sir, please let me know when you finish one of these alleged novels",No,No,,,,No,,,,,,50,Man,52,No,7
Calls are raining in group🎯  Dont miss out this cycle✔️  We going to moon🚀 ➡ https--//t.co/tEdSGx4WTu Grab your entries💸  $OMG $UNI $UMA $POLC $TLM $COTI $SKL $KEEP https--//t.co/3EwLYeD6gs,Yes,No,,,,No,,,,,,50,Man,52,No,7
"So at the very least, just don't do what I did.""  Except he didn't want to talk about what he did. It was too shameful. It still is too shameful. Which meant if he was going to make anything easier for both Reggie and Newt in any capacity, it was something he'd have to confront.",No,No,,,,No,,,,,,50,Man,52,No,7
"@beyond4now @DarrinZiliak @HarrisonKrank @JohnFetterman From Dr. Oz making a claim and someone following that claim. But here is just one example of a known death from homeopathy. https--//t.co/1YlAUye3ZD And nope. Not making shit up. Following the science bud. But typical gQp, not listening to science, experts, facts, etc.",Yes,No,,,,No,,,,,,50,Man,52,No,7
imagine if the music video dropped rn admist all this chaos,No,No,,,,No,,,,,,50,Man,52,No,7
@YomiObsessions @novaloquendo @kotobukicop @rylier00 I’m a starving child starving to death this is the last thing I will see Goodbye,No,Yes,No,50,7,No,,,,98,99,50,Man,52,No,7
"@MairiJCam @AdamRamsay The warning at the beginning of the piece nearly scared me off. There's a war in Ukraine right now, but what I really find disturbing is discussing ... transphobia...the worst thing on the planet.",No,Yes,No,100,63,No,,,,68,99,50,Man,52,No,7
"@PriceAmelion @MailOnline Damaging to the perspective that only one position is right. You got double corruption, friend, a double issue. And you wanna inflate the smaller of the two because you're Team DT. I get it, it's fine. This isn't whataboutism, this is whataboutboth.",No,Yes,No,100,50,No,,,,100,98,50,Man,52,No,7
"A world war is a great power conflict over territory which overturns the existing international order and where other states find themselves on different sides of the conflict. It involves economic warfare, information warfare, as well as kinetic war.  We’re in the same situation https--//t.co/h502gV4a82",No,Yes,No,51,12,No,,,,3,100,50,Man,52,No,7
$slp  is set and ready for a run up..~ https--//t.co/awTrtCeCLM,No,No,,,,No,,,,,,100,Woman,48,Yes,8
"@NukaSimmer I find it very disturbing in general. They have actual fans and people that are attracted to them, even knowing all of the terrible things that they have done. How can anybody idolize somebody like that?",No,No,,,,Yes,Yes,64,57,57,68,100,Woman,48,Yes,8
This is after a series of shootings and robberies outside the children's hospital and nearby Allina clinic this summer. Hospital is recommending escorts to parking ramps. My brother pulled his kid out of heart treatment bc of this. It's very dangerous to be a kid in Minneapolis. https--//t.co/VyYPtkh7Tg,No,No,,,,No,,,,,,100,Woman,48,Yes,8
@PowerUSAID Your concern will not save the Tigray civilians we need action  Stop this war crimes  #StopbombingTigrayCivilians #TigrayGenocide,No,Yes,Yes,52,68,Yes,Yes,52,61,54,71,100,Woman,48,Yes,8
@DrHaroldNews @motherredcaps Who apologised to India after 7 to  8 million Bengalis died of starvation after their grain was taken off them . Ye don't teach that in your school curriculum do ye. The sun no longer shines on the British empire. Ye carried out so many attrocities and yet never apologized,No,No,,,,No,,,,,,100,Woman,48,Yes,8
"@hoski67 @SteveSayersOne Having waded through previous papers ,which were clearly works of Fantasy designed to pull the wool over the eyes of people who have NO knowledge of finance this is more of the same but DUMBED DOWN to avoid the nasty ( ie reality ) bits . I go with the synopsis  UTTER PISH",No,No,,,,No,,,,,,100,Woman,48,Yes,8
"Russian warplane crashes into Sea of Azov city, killing 2 https--//t.co/J69LuU59E4",Yes,Yes,Yes,52,65,No,,,,51,50,100,Woman,48,Yes,8
"(To Bickslow) ""No matter the circumstances, hurting my owner, Lucy... Is something I cannot forgive.",No,Yes,Yes,71,63,No,,,,56,66,100,Woman,48,Yes,8
atomic kitten carrying my mental health this semester i’m afraid… https--//t.co/g0b18JCAWO,No,No,,,,No,,,,,,90,Man,33,No,9
"@yadovlack @pomkenpie @PileofAir @DeltaBean_Green It's not that people need death it's that when an author communicates that death is important, people will believe the author. Tabata did that, quite a lot.",No,Yes,No,66,84,No,,,,19,1,90,Man,33,No,9
@mikejason73 Cut them off. Iran needs a diversionary war just about now. I will wait for this Prince's martyrdom video as he attacks the Shia in the East.,No,Yes,Yes,100,92,No,,,,3,78,90,Man,33,No,9
#Kyiv is shelled by drones again. #Russia understood #UkrainianArmy destroyed almost all drones during the day so they decided to attack at night.  #UkraineWar #UkraineRussianWar #UkraineCrisis #Russie #RussianArmy #Trending,No,Yes,No,100,24,No,,,,0,100,90,Man,33,No,9
"Since black luster recordings is a Semitic favoring publication, I don’t allow the anti semitic to speculate about the label, it’s a win for the label since many have turn to demonology to respond out of anger for not allowing speculation. The popular demonology pick is baphomet.",Yes,No,,,,No,,,,,,90,Man,33,No,9
"@Sunalei2 @operator55_11 Fully agree. They're pre-punishing 99% of responsible users because accidents might happen. And they still happen, according to their news, they're skyrocketing. Not to mention that when there's no legal option, black market will provide, and they don't give a shit about caps",No,Yes,No,100,67,No,,,,0,66,90,Man,33,No,9
"""You Break The Rules And Become A Hero. I Do It And I Become The Enemy. That Doesn't Seem Fair.""  #ScarletWitch #WandaMaximoff #Marvel #Cosplay https--//t.co/yNO4wnKMYt",No,No,,,,No,,,,,,90,Man,33,No,9
@marclamonthill There are 2 types of antisemitism 1 wants to see the Jewish people destroyed.  2 wants to harm Jewish individuals. You are  1 so please stop using 2  to sanitize  your antisemitism and thereby further it. You are not our ally. You are our enemy.,No,Yes,No,71,57,No,,,,80,66,90,Man,33,No,9
@ChrisWillx Thanks for devastating my psyche again.,No,Yes,No,100,18,No,,,,77,49,90,Man,33,No,9
@ACTBrigitte FORMER PRESIDENT DONALD TRUMP IS RESPONSIBLE FOR THE DEATHS OF 7 AMERICANS..🇺🇸😡 FORMER PRESIDENT DONALD TRUMP IS RESPONSIBLE FOR THE DEATHS OF 7 AMERICANS..🇺🇸😤 FORMER PRESIDENT DONALD TRUMP IS RESPONSIBLE FOR THE DEATHS OF 7 AMERICANS..🇺🇸🤬.         Here you go dizzy 👅💙 https--//t.co/2PkiVAfimb,No,No,,,,No,,,,,,90,Man,33,No,9
@yaoecabrera @battle_stakes  @battle_stakes  The Battle stakes is a defi staking protocol and a play to earn project 👇👇👇 -$GEN-presale in October 24 -1% daily yield farming ✅ -Battling for Reward✅ -$ARENA buy back ✅  Join discord for more information 👇 https--//t.co/36UcJsuISZ,Yes,Yes,No,29,28,No,,,,62,51,40,Woman,30,Yes,10
avoid your friends for weeks even though theyre the only sense of consistency you have left in your life if they really wanted to see you theyd come but they wont /ly,No,No,,,,Yes,Yes,62,72,50,56,40,Woman,30,Yes,10
Transformation Friendship greater challenges. https--//t.co/VtFx3YbtW3,No,No,,,,Yes,Yes,78,82,67,77,40,Woman,30,Yes,10
"I experienced a frontal attack from a couple of colleagues because I claimed that ""conditio sine qua non"" is spelled with a c instead of a t. To make matters worse, I emphasized, ""conditio"" means ""spice"". In the end I was defined as an irredeemably arrogant pseudo-Übermensch. Me-- https--//t.co/saqCDr373G",Yes,Yes,Yes,48,41,No,,,,56,60,40,Woman,30,Yes,10
@Natashaxkayy He will be made aware🤣🤣,No,No,,,,Yes,Yes,50,66,56,59,40,Woman,30,Yes,10
"@wolftrainer09 @scrowder For your benefit, I'll should be more precise then-- irreversibly, severely and un-necessarily damaging healthy organs and bodily functions is extremely unethical.",No,No,,,,Yes,Yes,59,70,67,66,40,Woman,30,Yes,10
"@OrweIlianCylon @IRIMFA_EN That drone has been given before, it is not given in Ukraine Russia conflict",No,Yes,Yes,64,73,Yes,Yes,57,63,58,61,40,Woman,30,Yes,10
@HeroDownB she binding on my isaac till i rebirth?? (distant concern and applause),Yes,No,,,,Yes,Yes,53,62,57,63,40,Woman,30,Yes,10
i am NAWT finishing this event hjlkfdjlkvhjdchgldf im so discouraged bc i keep getting horrible calamity spawns . im at barely 3mil........ rip........ but at least i have enough gems for one last yolo shy pull before the end of the month sobs,Yes,Yes,No,54,62,Yes,Yes,54,66,58,75,40,Woman,30,Yes,10
@kurominicha I’ve been trying to avoid spoilers and it’s NOT WORKINV,Yes,No,,,,Yes,No,75,71,31,40,40,Woman,30,Yes,10
A simple illustration of the false commitments and lies of the global North to addressing loss and damage in the most vulnerable communities in the global south. @COP27P @UNFCCC @JoeBiden  #climatefinance  #ClimateCrisis  #lossanddamange https--//t.co/9pp1mdEhPl,Yes,Yes,Yes,68,73,Yes,Yes,69,75,73,74,82,Woman,62,No,11
"@Nw300398 @shiro_de @DumbsYT I mean, invisible or not, you would have died to the toser regardless",Yes,Yes,Yes,66,69,Yes,Yes,77,75,81,81,82,Woman,62,No,11
"@paramsundarii @GirlAdmiresRK @ranbirsmuskaan When any actor get attention, don’t get into all these assumptions. Let every actor enjoy their best phases. Don’t allow your love towards other actors to attack another one. All actors have good to great phases. Let them enjoy",Yes,Yes,Yes,68,69,Yes,Yes,72,71,82,81,82,Woman,62,No,11
@EvaluatorM He knows nd is afraid Downer gna nail him in court,Yes,Yes,Yes,79,78,Yes,Yes,79,77,81,81,82,Woman,62,No,11
"I always get an audition when I’m ill, and then it brings me such anxiety and stress to get better .. this happen to anyone else?😭",Yes,Yes,Yes,64,68,Yes,Yes,80,82,75,76,82,Woman,62,No,11
"@nonbinaryswaggg okay i have the context-- it was him saying ""hey dont send death threats to people"" and also the video was 5 years ago and afaik he and felix dont even. talk to eachother anymore",Yes,Yes,Yes,67,78,No,,,,81,81,82,Woman,62,No,11
"""I've...gotten fucked by Death, and Satan."" #KennyBot",Yes,Yes,Yes,65,70,Yes,Yes,69,72,80,81,82,Woman,62,No,11
@gimmeshelt first song-- probably satisfaction fav song-- idk the singer not the song fav album-- aftermath fav member-- brian any merch-- i have a shirt and this glimmer twins painting ahdhshdh seen live?-- nope --( fan?-- YESS https--//t.co/lUGEEtT3MD,Yes,Yes,Yes,80,80,Yes,Yes,80,77,79,79,82,Woman,62,No,11
"Across the board public services are on their knees, yet the government’s approach to growth is blind to the crisis engulfing local government, writes @JackTShaw. https--//t.co/P9J3zTJR8k",Yes,Yes,Yes,79,80,Yes,Yes,83,82,84,83,82,Woman,62,No,11
